店名,場所,経度,緯度
ＮＥＷＤＡＹＳ／長野２,長野県佐久市岩村田北１丁目 １３−５,138.48268,36.2839
セブンイレブン／佐久インター店,長野県諏訪市大字豊田 １０７７−２,138.10225,36.0246
ローソン／諏訪豊田店,長野県北安曇郡白馬村大字北城八方 ４６８３−２,137.85841,36.7022
和田野の森ビジターセンター,長野県飯山市大字静間 ２０８９−１,138.34979,36.83524
ローソン／飯山静間バイパス店,長野県南佐久郡小海町大字豊里 ４３２４,138.45032,36.0514
Ｙショップ松原湖嶋屋,長野県大町市大町 １０８６−２,137.8645,36.50764
ファミリーマート／大町合庁前店,長野県佐久市横和 ４９０−１,138.45203,36.25579
ローソン／佐久横和店,長野県安曇野市豊科 ４９２１−１,137.90056,36.30024
セブンイレブン／豊科合同庁舎前店,長野県上田市常田１丁目 ９−１,138.25378,36.39291
ファミリーマート／上田常田１丁目店,長野県北佐久郡軽井沢町大字長倉鳥井原 ３６８６−１,138.58559,36.3545
セブンイレブン／軽井沢鳥井原店,長野県大町市大町 ５９２６−１,137.83141,36.52462
ファミリーマート大町大原店,長野県茅野市仲町 ４０５４−１,138.15573,35.99338
セブンイレブン／ちの運動公園店,長野県上田市踏入２丁目 ３−２,138.25972,36.39267
ファミリーマート／上田踏入２丁目店,長野県飯田市白山町１丁目 ６４５６−１,137.81833,35.51807
セブンイレブン／飯田白山町店,長野県茅野市宮川 ４４５０−１,138.15312,35.98722
ローソン／茅野宮川店,長野県長野市大字石渡 １２９−１,138.24106,36.65972
ローソン／長野石渡店,長野県伊那市西町 ５０８８−２,137.94173,35.83374
ファミリーマート／伊那西町店,長野県松本市北深志１丁目 ４−１２,137.97375,36.24221
セブンイレブン／松本北深志店,長野県塩尻市大門一番町 １３−２,137.95183,36.11211
セブンイレブン／塩尻大門店,長野県岡谷市山下町１丁目 ８,138.045,36.06496
ファミリーマート／岡谷山下町店,長野県長野市松岡２丁目 ９−３２,138.21533,36.62582
ファミリーマート／長野松岡店,長野県松本市蟻ケ崎１丁目 １−５２,137.96495,36.24144
ローソン／松本蟻ヶ崎店,長野県茅野市米沢 ３０９４−１,138.17702,36.02301
ローソン／茅野米沢店,長野県長野市 末広１３５６,138.19467,36.64853
ローソン／長野駅前店,長野県岡谷市神明町４丁目 ５１−１,138.04196,36.08332
サークルＫ岡谷神明町店,長野県長野市新諏訪１丁目 １−５１,138.17508,36.65654
セブン・イレブン／西長野店,長野県佐久市小田井 ９２５−１,138.49286,36.30246
セブンイレブン／佐久小田井店,長野県安曇野市豊科南穂高 ２６０８−１,137.9144,36.31717
セブンイレブン／豊科南穂高店,長野県上高井郡小布施町大字中松 ７３６−１６,138.32478,36.69918
ファミリーマート小布施中松店,長野県長野市篠ノ井塩崎 ２７３−１,138.10481,36.54336
ファミリーマート／長野篠ノ井塩崎店,長野県安曇野市豊科田沢 ５４７０−１,137.9388,36.29364
有限会社伸邦商事,長野県上田市常田３丁目 ５−４８,138.26598,36.39466
セブンイレブン／上田常田３丁目店,長野県上田市踏入２丁目 １１５４−４,138.26424,36.38883
セブンイレブン／上田踏入２丁目店,長野県岡谷市長地権現町２丁目 ２−２,138.07037,36.0671
ファミリーマート／岡谷権現町店,長野県埴科郡坂城町大字坂城 ６７５７−１,138.19969,36.46807
ファミリーマート／信州坂城店,長野県須坂市大字須坂東横町 １２８９−１,138.30896,36.65745
セブン・イレブン／須坂市役所前店,長野県上田市上田原 １１４４−１,138.22443,36.38957
ファミリーマート／上田長池店,長野県下伊那郡阿智村駒場 ４９６−１,137.74905,35.44656
ローソン阿智駒場店,長野県安曇野市豊科南穂高 １１１−２３,137.91879,36.29924
ファミリーマート／安曇野インター店,長野県木曽郡上松町大字小川 ２０６１,137.69746,35.7751
ぷちショップ・タッチ,長野県飯田市中村 １５４０−１,137.78725,35.48969
ファミリーマート／飯田中村店,長野県中野市大字壁田 １４８５−１,138.35109,36.79628
セブンイレブン／中野市壁田店,長野県上伊那郡南箕輪村 ５５３３−１５３,137.98061,35.88467
セブンイレブン／南箕輪春日街道店,長野県長野市大字高田 １０３３−２,138.20267,36.64121
セブン・イレブン／七瀬店,長野県長野市中条住良木 １０３６,138.00847,36.61105
セブン・イレブン／信州中条村店,長野県長野市稲里町田牧 １５９１−１,138.17357,36.59425
ローソン／長野稲里町田牧店,長野県上高井郡高山村大字高井 ６４３９−１,138.34962,36.65576
セブンイレブン信州高山高井店,長野県長野市大字栗田 ３４８−３,138.18982,36.63889
ファミリーマート／長野栗田店,長野県小諸市大字御影新田 １５８１,138.45866,36.30249
セブンイレブン／小諸三岡店,長野県北佐久郡軽井沢町大字軽井沢 １１７８−７９８,138.63686,36.34045
セブンイレブン／軽井沢ショッピングプラザ店,長野県安曇野市豊科高家 ６４９５−３４,137.90779,36.26936
ファミリーマート／安曇野立石店,長野県塩尻市大字洗馬太田 ２８０−３,137.91312,36.11856
セブンイレブン／塩尻洗馬店,長野県長野市 鶴賀緑１４２０−９,138.19325,36.64813
ファミリーマート／長野大通り店,長野県上田市生田 ５１５０−２,138.2728,36.35131
オレンジハート依田店,長野県長野市大字鶴賀峰村 ７０−７,138.19667,36.64503
セブン・イレブン／長野とんとん通り店,長野県安曇野市豊科 ４４６６−１,137.91026,36.29015
セブンイレブン／豊科成相店,長野県安曇野市穂高 ２６３５,137.88774,36.33947
セブンイレブン／安曇野穂高店,長野県岡谷市郷田２丁目 ７２０５,138.04776,36.0718
セブンイレブン／岡谷郷田２丁目店,長野県長野市大字栗田北中 １０２０−１,138.19456,36.63931
セブン・イレブン／長野駅東口店,長野県南佐久郡佐久穂町大字高野町 ５２０−３,138.48357,36.16038
ローソン佐久穂高野店,長野県上田市中央西１丁目 ３−３４,138.24763,36.40562
ローソン／上田二の丸店,長野県茅野市湖東堀 ３２３２−１,138.20412,36.02642
セブンイレブン／茅野堀店,長野県松本市大字和田 ６７−４,137.90797,36.20262
ファミリーマート／松本和田店,長野県松本市梓川梓 １２４６−２,137.8746,36.22762
セブンイレブン／安曇野梓店,長野県長野市豊野町蟹沢 ２５５９,138.30446,36.72437
セブン・イレブン／豊野蟹沢店,長野県上伊那郡箕輪町大字中箕輪 ８８６１,137.95253,35.92954
セブンイレブン箕輪松島店,長野県松本市波田 １００５１,137.89191,36.21669
セブンイレブン／信州波田町店,長野県長野市稲田１丁目 ３９−１７,138.21877,36.67625
セブン・イレブン／長野若槻店,長野県佐久市取出町 ４７０−２,138.46793,36.22057
セブンイレブン／佐久野沢店,長野県下伊那郡高森町下市田 ６７８−１,137.88103,35.54778
ファミリーマート／高森下市田店,長野県上伊那郡宮田村新田 １７５９−１,137.92191,35.75327
セブンイレブン／宮田新田店,長野県諏訪市高島４丁目 １４６９−１,138.11256,36.03452
セブンイレブン／諏訪高島店,長野県千曲市大字磯部 １０４６−１,138.1515,36.4814
セブンイレブン／戸倉店,長野県長野市松代町東寺尾 ２７９８−１,138.20483,36.5849
セブン・イレブン／長野東寺尾店,長野県塩尻市大字塩尻町 １７−２,137.97305,36.10471
デイリーヤマザキ塩尻仲町店,長野県下伊那郡阿智村智里 ４３０−１,137.67719,35.45364
ファミリーマート信州昼神店,長野県長野市川中島町今里 １２３−３,138.15582,36.60157
セブン・イレブン／川中島中学校前店,長野県長野市南千歳１丁目 ２２−８,138.18887,36.64411
デイリーヤマザキ／長野駅西口店,長野県下高井郡木島平村大字穂高 ２９９０,138.4064,36.86148
ローソン信州木島平店,長野県塩尻市大字広丘原新田 ２１５−２０,137.94699,36.14772
セブンイレブン／広丘駅前店,長野県諏訪郡下諏訪町大社通 ３２４４−２,138.07382,36.08288
セブンイレブン／下諏訪大社通り店,長野県上伊那郡飯島町飯島 ２５６８−９,137.91658,35.67741
ファミリーマート飯島文化館前店,長野県松本市出川町 １−３,137.96983,36.2106
ローソン／南松本駅前店,長野県松本市桐２丁目 １−１８,137.97696,36.25215
デイリーヤマザキ／松本信大前店,長野県松本市征矢野１丁目 ６−１,137.95645,36.22369
ローソン／松本征矢野１丁目店,長野県上伊那郡箕輪町大字中箕輪松島 ８２９６,137.95253,35.92954
ローソン／箕輪町松島店,長野県長野市川中島町今井 １０７７−４,138.15146,36.59545
デイリーヤマザキ／長野川中島今井店,長野県上伊那郡辰野町大字樋口 １０４８−１,137.9959,35.95871
ヤマザキデイリーストアー辰野樋口店,長野県上田市下之郷 ３６３−１,138.21564,36.36943
ファミリーマート／上田下之郷店,長野県下伊那郡阿智村駒場 １１７−１,137.74905,35.44656
デイリーヤマザキ阿智ＰＡ上り店,長野県松本市笹部２丁目 ２−２２,137.9502,36.2161
セブンイレブン／笹部店,長野県中野市大字新保 ９２１−１,138.35231,36.72815
ローソン／中野新保店,長野県松本市本庄１丁目 ８−９,137.97157,36.22683
セブンイレブン／松本本庄店,長野県松本市筑摩１丁目 １１−２０,137.97974,36.22218
セブンイレブン／松本西筑摩店,長野県東筑摩郡麻績村麻 ４１３０−１,138.04498,36.4627
セブンイレブン麻績聖高原店,長野県千曲市大字若宮 １１０７−１,138.12535,36.49334
セブンイレブン／戸倉若宮店,長野県長野市大字稲葉日詰 １３８４−１,138.2081,36.6335
ローソン／長野稲葉日詰店,長野県長野市篠ノ井御幣川 ８７２−１,138.14293,36.56772
セブン・イレブン／長野御幣川店,長野県松本市大字笹賀 ５２１１−１,137.94591,36.19927
セブンイレブン／松本二子橋店,長野県長野市大字稲葉 １１−４,138.2081,36.6335
ファミリーマート／長野芹田店,長野県長野市三本柳西２丁目 ４６,138.16333,36.61683
セブン・イレブン／長野三本柳店,長野県松本市寿南１丁目 ３７−１８,137.96945,36.17415
ファミリーマート／寿小赤店,長野県長野市吉田２丁目 ４３６−３,138.21349,36.67183
セブン・イレブン／長野吉田２丁目店,長野県小諸市南町２丁目 ４−４,138.42792,36.32198
セブンイレブン／小諸南町店,長野県上田市中之条 ８５９−１０,138.22292,36.40081
ファミリーマート／上田中之条店,長野県安曇野市豊科光 ２０５０−１,137.93286,36.31586
セブンイレブン／豊科光店,長野県松本市並柳４丁目 １−３６,137.97946,36.20886
ローソン／松本並柳店,長野県安曇野市堀金烏川 ２７６４−１,137.87729,36.29644
ファミリーマート／ＪＡあづみ烏川店,長野県中野市大字柳沢 ５４０,138.35983,36.79903
Ｙショップクラタ,長野県上田市古里 ８０−３,138.28394,36.40055
ローソン／上田古里店,長野県松本市大字島立 ７８１−３,137.93791,36.22284
セブンイレブン／松本堀米新田店,長野県長野市大字屋島 ２３３６−２５０,138.24615,36.64011
セブン・イレブン／長野屋島店,長野県下伊那郡高森町牛牧 １３２−１,137.84895,35.55614
ファミリーマート／ＪＡ高森フルーツライン店,長野県飯田市鼎名古熊 ２６０５−５,137.8324,35.49784
セブンイレブン／飯田市立病院前店,長野県佐久市根々井 ２０８−１,138.45958,36.25747
セブンイレブン／佐久根々井店,長野県飯田市上郷黒田 ２０７８−１,137.83844,35.53046
ファミリーマート／上郷中央店,長野県佐久市望月 ３３５−１,138.36264,36.27515
ファミリーマート／佐久望月店,長野県上田市塩川 １２８１−１,138.30684,36.35804
セブンイレブン／丸子坂井店,長野県飯山市大字飯山新町 ２２１−１,138.35829,36.8503
セブンイレブン／飯山日赤前店,長野県松本市野溝東１丁目 １６−８,137.95976,36.19621
ファミリーマート／松本平田西店,長野県松本市大字島内 ４３６８−５,137.93459,36.25204
セブンイレブン／松本島内青島店,長野県南佐久郡小海町大字千代里 ２９３５−１,138.46077,36.09654
セブンイレブン／小海店,長野県佐久市大沢 ２９−１,138.46523,36.21019
セブンイレブン／佐久大沢店,長野県小県郡青木村大字当郷 １３４,138.14085,36.38752
ファミリーマート信州青木村店,長野県松本市村井町南１丁目 ６−１６,137.96182,36.18227
ローソン／松本芳川小屋店,長野県飯田市上郷別府 ６９４,137.85233,35.50723
ファミリーマート／飯田上郷別府店,長野県上水内郡信濃町大字野尻 ７２８−３,138.20036,36.82745
セブンイレブン／信州信濃町野尻店,長野県佐久市塚原 ２８８−１,138.45003,36.27471
ファミリーマート／佐久塚原店,長野県須坂市墨坂南２丁目 ３−４０,138.29509,36.64756
セブン・イレブン須坂南店,長野県千曲市大字打沢 ２６−１,138.12897,36.52398
セブンイレブン／千曲打沢店,長野県塩尻市大字北小野 １９５４−１,137.9736,36.06337
セブンイレブン／塩尻北小野店,長野県安曇野市豊科高家 ９７２−５,137.93204,36.27121
ファミリーマート／梓川サービスエリア上り店,長野県北佐久郡御代田町大字馬瀬口 １６７１−１,138.51027,36.3277
セブンイレブン西軽井沢店,長野県佐久市中込 ３７１３−１８,138.46642,36.25116
セブンイレブン／佐久中込店,長野県上田市小島 ２３９,138.207,36.37335
セブンイレブン／上田小島店,長野県松本市埋橋１丁目 ９−１１,137.9792,36.22836
ファミリーマート／松本埋橋店,長野県安曇野市豊科 ４２０４−１,137.91026,36.29015
ファミリーマート／安曇野吉野店,長野県駒ヶ根市上穂北 ２６−２,137.93498,35.74149
ファミリーマート駒ヶ根アクセス店,長野県北佐久郡軽井沢町中軽井沢 ７−１,138.58971,36.34858
ローソン／中軽井沢駅前店,長野県埴科郡坂城町大字上五明 ６４０−１,138.16983,36.44958
ローソン坂城村上店,長野県長野市大字柳原 ２１１６,138.25841,36.66339
セブン・イレブン／長野柳原店,長野県上田市住吉 １１３０−１,138.27713,36.41175
ファミリーマート／上田神科店,長野県茅野市玉川 ４６２８−１,138.19049,35.99382
デイリーヤマザキ／茅野運動公園前店,長野県千曲市杭瀬下４丁目 ５,138.11443,36.53149
セブンイレブン／更埴市民体育館前店,長野県東筑摩郡朝日村大字古見 ２００４−４,137.87354,36.1382
株式会社大和屋,長野県長野市上松１丁目 １４−１２,138.20142,36.67072
ローソン／長野ＳＢＣ通店,長野県長野市松代町西条 ４１１８−３,138.20781,36.55424
デイリーヤマザキ／長野松代店,長野県上水内郡飯綱町大字豊野 ５４１９−１,138.24818,36.73716
セブンイレブン／信州牟礼店,長野県駒ヶ根市上穂南 １−７,137.93384,35.73331
セブンイレブン／駒ヶ根中央店,長野県長野市安茂里小市１丁目 ３−３５,138.15764,36.62925
セブン・イレブン／安茂里駅西店,長野県千曲市大字雨宮 ２５９−１,138.14674,36.54695
セブンイレブン／更埴雨宮店,長野県小諸市大字滋野甲 ３９３０−５,138.40273,36.35344
セブンイレブン／小諸新家店,長野県伊那市東春近渡場 １２６５−２,137.93195,35.81112
セブンイレブン／伊那東春近店,長野県松本市大字島内 ９９７−１,137.92471,36.237
セブンイレブン／松本小宮北店,長野県飯山市大字瑞穂豊 １０３８,138.40419,36.91285
ローソン／飯山瑞穂豊店,長野県長野市篠ノ井山布施 ８４８２,138.09445,36.61652
セブン・イレブン／長野村山店,長野県諏訪郡下諏訪町 南高木１０６１６−１３７,138.07382,36.08288
セブンイレブン／下諏訪湖岸通り店,長野県中野市大字中野 １８４６−２,138.37531,36.75122
ファミリーマート／中野一本木公園南店,長野県松本市大字島立 １９０,137.94492,36.22926
ファミリーマート／松本堀米店,長野県伊那市東春近車屋 ５６−１,137.93195,35.81112
セブンイレブン／伊那東春近車屋店,長野県岡谷市神明町４丁目 ８５,138.04196,36.08332
セブンイレブン／岡谷神明町店,長野県長野市大字北尾張部 ５１９,138.23767,36.65504
セブン・イレブン／長野木工団地入口店,長野県上田市真田町長 ６１２１−５,138.32591,36.45119
セブンイレブン／真田店,長野県岡谷市田中町２丁目 ８−５,138.05676,36.06069
ファミリーマート／岡谷田中町店,長野県佐久市岩村田 １８２５−３,138.46925,36.26632
ファミリーマート／佐久一本柳店,長野県伊那市高遠町西高遠 ２７−１,138.0567,35.85555
セブンイレブン／伊那笠原店,長野県北安曇郡白馬村大字北城 １２７８５,137.85841,36.7022
セブンイレブン／白馬岩岳店,長野県長野市若穂綿内 ８８０５−８,138.26062,36.62923
セブン・イレブン／長野若穂綿内店,長野県下高井郡山ノ内町大字夜間瀬 １１７００−４,138.43784,36.78439
Ｙショップ竜王店,長野県下高井郡山ノ内町大字平穏 ４１２７−９５,138.41008,36.7421
セブンイレブン／信州山ノ内町店,長野県上田市常田２丁目 １５８−３,138.25746,36.39542
セブンイレブン／上田常田店,長野県長野市中御所５丁目 １１２１,138.18121,36.6299
セブン・イレブン／長野荒木店,長野県上田市中央２丁目 ３−２,138.25206,36.40113
セブンイレブン／上田城大手門店,長野県飯田市大門町 ８４−１０,137.82947,35.52372
セブンイレブン／飯田大門店,長野県上田市天神１丁目 ４−４,138.24736,36.39966
有限会社ケーアイ,長野県上田市御所 １９６−１１,138.23428,36.3916
ファミリーマート／上田三好町店,長野県長野市大字富竹 ６７９−１,138.24677,36.6728
ローソン／長野富竹店,長野県茅野市玉川 ５０４７−５,138.19049,35.99382
セブンイレブン／茅野長峰店,長野県長野市大字風間 １９０−１,138.22693,36.63643
ファミリーマート／長野風間店,長野県東御市滋野乙 ２２８６−２,138.37405,36.35194
セブン・イレブン／東部滋野店,長野県上田市東内 ２０４９−１,138.22485,36.31447
セブンイレブン／丸子和子店,長野県木曽郡木曽町日義 １６８３−１,-99999.89844,-99999.89844
セブンイレブン／木曽町日義店,長野県飯田市高羽町３丁目 ４−６,137.82173,35.52258
ローソン／飯田高羽町店,長野県長野市東鶴賀町 ３４−１,138.20113,36.65241
セブン・イレブン／長野鶴賀店,長野県安曇野市豊科 ５４６８−１,137.91026,36.29015
セブンイレブン／安曇野豊科店,長野県飯田市鼎一色 ８８,137.80994,35.50271
ローソン／飯田鼎一色店,長野県長野市大字石渡 １８４−２,138.23724,36.66069
セブン・イレブン／長野石渡店,長野県長野市真島町真島 １６７０−１,138.20996,36.60579
ファミリーマート／長野真島店,長野県長野市稲里町中氷鉋 １１０９−１,138.17044,36.61031
ファミリーマート／長野中氷鉋店,長野県長野市小島田町 ２１３３−１,138.19359,36.59994
セブン・イレブン／長野不動寺店,長野県長野市松代町西寺尾 １０３９−１,138.19788,36.56977
ローソン／長野松代町店,長野県長野市差出南２丁目 ２７−８,138.17232,36.62869
セブン・イレブン／長野工業高校前店,長野県飯田市上郷黒田 ３１５６−３,137.83495,35.53361
ファミリーマート／飯田上郷黒田店,長野県長野市大字徳間 ３１４５,138.22987,36.67513
セブン・イレブン／長野徳間店,長野県伊那市中の原 ８２２８−２１０,137.92285,35.85426
ファミリーマート／伊那ごんべい店,長野県松本市大字和田 １８５４−３,137.92039,36.20431
ファミリーマート／松本和田東沖店,長野県中野市大字中野 １７５３,138.37067,36.74862
セブンイレブン／信州中野店,長野県長野市篠ノ井布施高田 ７７７−１,138.14487,36.57706
ファミリーマート／長野篠ノ井布施高田店,長野県安曇野市明科七貴 ８８３０−３９,137.92668,36.36937
セブンイレブン／明科七貴店,長野県東御市和 １５３６−１,138.30962,36.36619
ファミリーマート／東御和店,長野県大町市常盤 ３５６０−５,137.84769,36.46978
ファミリーマート／大町常盤店,長野県長野市中御所２丁目 ３９１−１,138.18628,36.6381
ローソン／長野ホクト文化ホール前店,長野県北安曇郡池田町大字会染滝沢 ６３２４−１,137.88739,36.40036
ローソン北安曇池田店,長野県上伊那郡南箕輪村神子柴 ８３０１−１,137.97197,35.85846
ローソン伊那インター東店,長野県飯田市丸山町２丁目 １−１,137.8101,35.52114
ローソン／飯田丸山町店,長野県小諸市大字耳取 ３７３−７,138.43594,36.29303
セブンイレブン／小諸耳取店,長野県岡谷市成田町１丁目 ３２１９−１,138.03917,36.05576
ファミリーマート／岡谷成田町店,長野県松本市大字島立 １０５７−７,137.94487,36.23626
ファミリーマート／松本合庁前店,長野県塩尻市大字大小屋 １１３−３,137.96718,36.10593
セブンイレブン／塩尻大小屋店,長野県小諸市乙女 ９−１２,138.4395,36.31453
ローソン小諸乙女店,長野県松本市大字笹賀 ３４７９−１,137.94173,36.18526
ローソン／松本菅野店,長野県松本市井川城２丁目 １１−１５,137.96948,36.21814
セブンイレブン／松本井川城店,長野県伊那市福島 ５６８−１,137.99521,35.86784
セブンイレブン／伊那福島店,長野県長野市大字鶴賀上千歳町 １１９２,138.19035,36.64864
デイリーヤマザキ／上千歳町通り店,長野県塩尻市大門並木町 ７−１６,137.95276,36.11913
セブンイレブン／塩尻並木町店,長野県松本市梓川倭 ２６５３−２,137.89983,36.23688
セブンイレブン／梓川氷室店,長野県松本市並柳１丁目 ５−１８,137.97949,36.21266
ファミリーマート／松本並柳店,長野県松本市大字寿白瀬渕 ２１２５−１０,137.99107,36.18343
ローソン／松本寿白瀬渕店,長野県長野市三輪９丁目 ３１７−２６,138.20645,36.66711
ファミリーマート／長野宇木店,長野県松本市大字島内 ４５９８−５,137.94455,36.24757
セブンイレブン／松本島内店,長野県下伊那郡阿南町西條 ７４８−１,137.81081,35.32461
ファミリーマート信州阿南店,長野県上田市御嶽堂 ５８６−３,138.26355,36.33796
ローソン／丸子御岳堂店,長野県伊那市上の原 ８４３８−１,137.98848,35.84362
ファミリーマート／伊那上の原店,長野県長野市篠ノ井小森 ２３６−４,138.16069,36.57952
ローソン／篠ノ井北小森店,長野県飯山市 飯山枡ノ浦７７０−３,138.35829,36.8503
ＮＥＷＤＡＹＳ飯山,長野県中野市大字草間 １６４５−１,138.32578,36.73063
セブンイレブン／信州中野インター店,長野県松本市並柳１丁目 １１−１,137.97942,36.21103
セブンイレブン／松本並柳店,長野県千曲市大字八幡 ２４１３−１,138.10129,36.52515
ファミリーマート／千曲八幡店,長野県長野市松代町東寺尾 １２３１−１,138.20358,36.57995
セブン・イレブン／長野インター店,長野県下伊那郡高森町山吹 ４４６１−１,137.88658,35.5763
ローソン高森町店,長野県長野市三本柳東３丁目 ８６,138.1658,36.61361
ローソン／長野三本柳店,長野県諏訪市大字四賀武津 ６７−１,138.13956,36.02462
セブンイレブン／諏訪武津店,長野県下伊那郡松川町元大島 ５１１８−４６,137.89923,35.60041
セブンイレブン／松川元大島店,長野県長野市大字穂保 ６４８−１,138.26749,36.6841
ローソン／長野穂保店,長野県上田市上田原 １４０５−４,138.22926,36.38237
セブンイレブン／上田長池店,長野県松本市大字島立 ３０４−４,137.94666,36.23178
セブンイレブン／松本島立店,長野県飯田市鼎切石 ４６３８−２,137.80516,35.51256
ファミリーマート／飯田鼎切石店,長野県南佐久郡佐久穂町大字畑 ３６５８−１,138.47171,36.13649
セブンイレブン佐久穂町店,長野県中野市大字岩船 ３０２−１,138.35982,36.74554
ローソン／中野岩船店,長野県松本市元町２丁目 １−２５,137.9808,36.24245
ファミリーマート／松本元町店,長野県松本市刈谷原町 ９３３−１,137.98734,36.31365
セブンイレブン／四賀錦部店,長野県中野市大字豊津 ３８１−１,138.32176,36.77039
セブンイレブン／中野市豊津店,長野県中野市大字吉田 ２８０−２,138.35269,36.74547
セブンイレブン／中野市吉田店,長野県塩尻市大字広丘吉田 １０８７,137.95323,36.16334
ファミリーマート／塩尻吉田店,長野県長野市篠ノ井東福寺上庭 １４８８−１,138.17142,36.57595
ファミリーマート／長野水沢上庭店,長野県下高井郡野沢温泉村大字平林 ７３６−１,138.42987,36.94268
河野商店Ｙショップ,長野県須坂市臥竜５丁目 ３−６,138.31578,36.64752
ファミリーマート／須坂臥竜店,長野県松本市大字岡田松岡 １４０−１,137.97614,36.26003
ファミリーマート／松本岡田店,長野県松本市寿中１丁目 ３７−１,137.96898,36.18237
セブンイレブン／寿店,長野県長野市三輪６丁目 １７−１５,138.19615,36.65881
ローソン／長野三輪六丁目店,長野県長野市大字南長野北石堂町 １３７４−１,138.18753,36.64498
セブン・イレブン／長野二線路通り店,長野県上伊那郡中川村片桐 ３９９６−１,137.92546,35.63024
ファミリーマートＪＡ中川店,長野県北佐久郡軽井沢町大字長倉 ４６２５−１,138.56406,36.34426
ローソン／軽井沢借宿店,長野県長野市桐原１丁目 ２１−４７,138.21255,36.66589
セブン・イレブン／長野桐原店,長野県塩尻市大字広丘高出 １８３５−９,137.95671,36.13011
ファミリーマート／塩尻緑ヶ丘南店,長野県東御市鞍掛 ３８５−１,138.35484,36.3639
セブン・イレブン／信州鞍掛店,長野県長野市松代町東条 ２９９８−２,138.20674,36.55634
ファミリーマート／長野松代町東条店,長野県松本市大字島内 ６９３０−９,137.93459,36.25204
デイリーヤマザキ／梓川サービスエリア下り店,長野県上伊那郡箕輪町大字東箕輪 ４１７７−１,138.01195,35.93239
セブンイレブン箕輪東箕輪店,長野県下高井郡山ノ内町大字佐野 ３８３−１,138.40677,36.74078
セブンイレブン／山ノ内佐野店,長野県木曽郡上松町大字荻原小野 ２３９２−１,137.71022,35.75416
デイリーヤマザキ木曽上松寝覚店,長野県佐久市小田井 ８６４−１,138.48271,36.30412
ファミリーマート／佐久小田井店,長野県茅野市宮川 １１４００−１,138.15791,35.98363
デイリーストア茅野長峰エコタウン店,長野県北安曇郡白馬村大字北城みそら野 ８２８−２３１,137.85841,36.7022
セブンイレブン／白馬みそら野店,長野県松本市中山台 ２０−３,137.99646,36.17936
エフエフショップカマクラ,長野県松本市清水２丁目 １８５６−１,137.98488,36.23678
デイリーヤマザキ／松本清水２丁目店,長野県佐久市中込２丁目 １２−１,138.47617,36.23011
セブンイレブン／佐久中込駅前店,長野県松本市大字新村 ５２１,137.90253,36.21747
ローソン／松本新村店,長野県塩尻市大字贄川 ２４０１−６,137.86517,36.01209
セブンイレブン／塩尻木曽平沢店,長野県北安曇郡池田町大字池田 ３０９７−１,137.87379,36.42312
セブンイレブン／安曇総合病院前店,長野県飯田市鼎東鼎 １６８,137.84268,35.50481
ファミリーマート／東かなえ店,長野県長野市大字南長野南石堂町 １３０４,138.18489,36.64506
セブン・イレブン／長野南石堂町店,長野県須坂市大字幸高 １０１−１,138.2888,36.63697
セブン・イレブン／須坂井上店,長野県北安曇郡池田町大字会染林中 ５０９８−１,137.88739,36.40036
ファミリーマート／ＪＡ大北会染店直売所,長野県上伊那郡宮田村宮田 ８５−１,137.95039,35.76236
セブンイレブン／宮田北店,長野県駒ヶ根市赤穂 １００２５−１,137.92206,35.72798
セブンイレブン／駒ヶ根伊南バイパス店,長野県長野市稲里町中央１丁目 １−１,138.17648,36.60472
セブン・イレブン／長野稲里店,長野県塩尻市大字広丘高出 ２１９９−４,137.96198,36.13013
セブンイレブン／塩尻高出店,長野県長野市川中島町今里 ８０８,138.1459,36.60407
ローソン／長野川中島今里店,長野県松本市梓川倭 ２１０６−２,137.89508,36.23436
ファミリーマート／松本梓川店,長野県上田市小泉 ８１６−２,138.18634,36.38369
ファミリーマート／上田小泉店,長野県埴科郡坂城町大字中之条 ２４４３−１,138.19496,36.45135
セブンイレブン／坂城中之条店,長野県長野市平林２丁目 １１−４０,138.21301,36.65416
セブン・イレブン／長野平林店,長野県下伊那郡松川町上片桐 ２２７１−１,137.8985,35.62303
ファミリーマートＪＡ上片桐店,長野県飯田市八幡町 ２１５２−８,137.84001,35.49669
ローソン／飯田八幡町店,長野県松本市白板２丁目 １−９,137.95912,36.23716
ファミリーマート／北松本店,長野県茅野市豊平 １６７６,138.18999,36.01711
ローソン／茅野豊平店,長野県木曽郡大桑村大字野尻 ２４６５,137.64856,35.67104
デイリーヤマザキ大桑野尻店,長野県松本市中央１丁目 ４−２０,137.96664,36.2312
ファミリーマート／松本駅前店,長野県佐久市甲 １８２１−１,138.40523,36.24477
セブンイレブン／浅科バイパス店,長野県南佐久郡川上村大字梓山 １１５,138.68782,35.97317
Ｙショップマスヤ,長野県長野市吉田２丁目 ２４−３,138.21027,36.6701
ファミリーマート／長野ＳＢＣ通り店,長野県松本市神田２丁目 １−２,137.98711,36.21676
ファミリーマート／松本神田店,長野県諏訪郡富士見町富士見 ８７−１１,138.2084,35.93224
ローソン富士見町富士見店,長野県松本市大手２丁目 ９−１０,137.96638,36.23718
セブンイレブン／松本松栄町店,長野県安曇野市豊科南穂高 ６３５１−１,137.9144,36.31717
ファミリーマート／安曇野オリンピックロード店,長野県長野市下氷鉋１丁目 １３７７−１,138.17754,36.61149
